OBJECTID,CECPlantID,PlantName,Retired Plant,Operator Company,County,Capacity_Latest,Units,PriEnergySource,StartDate,CEC_Jurisdictional,x,y
5038,H0228,Hell Hole,0,Placer County Water Agency,Placer,0.73,1,WAT,7/1/1983 12:00:00 AM,0,-120.408058947,39.056475854
5039,H0289,Loon Lake,0,Sacramento Municipal Utility District (SMUD),El Dorado,82,Unit 1,WAT,9/1/1971 12:00:00 AM,0,-120.32447771,38.9827109560001
5040,H0283,Lake Mendocino,0,City of Ukiah,Mendocino,3.5,"G1, G2",WAT,5/1/1987 12:00:00 AM,0,-123.185814432,39.1975539920001
5041,S9052,Community College Mendocino,0,Not Available,Mendocino,1,1,SUN,1/1/2012 12:00:00 AM,0,-123.223548125,39.1862509580001
5042,S9264,East Side Calpella 2MW PV Project (1) (2012 PV RFO - 1),0,Not Available,Mendocino,2,Unit 1,SUN,12/31/2014 12:00:00 AM,0,-123.194756175,39.1430473830001
5043,S9265,Parducci 2MW PV Project (3) (2012 PV RFO - 1),0,Not Available,Mendocino,2,Unit 1,SUN,12/31/2014 12:00:00 AM,0,-123.194756175,39.1430473830001
5044,S9266,Ruddick-2 2MW PV Project (4) (2012 PV RFO - 1),0,Not Available,Mendocino,2,Unit 1,SUN,12/31/2014 12:00:00 AM,0,-123.194756175,39.1430473830001
5045,G0919,Yuba City Peaker,0,Calpine Corporation - West Region,Sutter,48.1,GL3JT1,NG,7/1/2002 12:00:00 AM,0,-121.638685656,39.139169693
5046,S9032,Lomo Cold Storage LLC,0,Not Available,Sutter,1,1,SUN,1/1/2012 12:00:00 AM,0,-121.63941682,39.219944495
5047,S9099,City of Yuba,0,Not Available,Sutter,1,1,SUN,1/1/2012 12:00:00 AM,0,-121.636615984,39.1440940000001
5048,S9310,Pristine Sun Fund 1  LLC_(2127_Harris),0,Pristine Sun LLC,Butte,1.25,Unit 1,SUN,12/31/2013 12:00:00 AM,0,-121.669484305,39.2921229500001
5049,G0239,Greenleaf 2  Inc.,0,Greenleaf Plants 1&2,Sutter,50,GL2JT1,NG,12/1/1989 12:00:00 AM,0,-121.639839888,39.136508206
5050,G0686,Yuba City Cogeneration Partners LP,0,Wellhead Services Inc,Sutter,49,GEN 1,NG,4/1/1990 12:00:00 AM,0,-121.638081438,39.1387272000001
5051,S9078,Yuba College,0,Not Available,Yuba,1,1,SUN,1/1/2012 12:00:00 AM,0,-121.53399738,39.125119672
5052,H0348,Narrows 1,0,Yuba County Water Agency,Nevada,12,Unit 553,WAT,12/29/1942 12:00:00 AM,0,-121.27171239,39.236383549
5053,H0354,Narrows 2,0,Yuba County Water Agency,Yuba,55,1,WAT,6/5/1970 12:00:00 AM,0,-121.2703519,39.2390373380001
5054,H0005,Alta,0,Pacific Gas & Electric (PG&E),Placer,1,"1, 2",WAT,11/1/1902 12:00:00 AM,0,-120.803511509,39.2159809770001
5055,H0095,Chicago Park,0,Nevada Irrigation District,Nevada,44,UNIT 1,WAT,11/1/1965 12:00:00 AM,0,-120.891041826,39.17811549
5056,H0133,Deer Creek,0,Pacific Gas & Electric (PG&E),Nevada,5.5,1,WAT,5/1/1908 12:00:00 AM,0,-120.844158217,39.298118577
5057,H0156,Dutch Flat #1,0,Pacific Gas & Electric (PG&E),Placer,22,Unit 568,WAT,3/29/1943 12:00:00 AM,0,-120.835650407,39.2169673820001
5058,H0157,Dutch Flat 2,0,Nevada Irrigation District,Nevada,27.3,UNIT 1,WAT,11/1/1965 12:00:00 AM,0,-120.835323124,39.2183487200001
5059,H0347,Scotts Flat (860kW Nameplate Capacity),0,Nevada Irrigation District,Nevada,1,7P,WAT,2/1/1985 12:00:00 AM,0,-120.93250799,39.2721108210001
5060,H0424,Rollins,0,Nevada Irrigation District,Nevada,13.5,UNIT 1,WAT,8/1/1980 12:00:00 AM,0,-120.953256664,39.1342683070001
5061,H0154,Drum #1,0,Pacific Gas & Electric (PG&E),Placer,55.5,"Unit 563, Unit 564, Unit 565, Unit 566",WAT,11/26/1913 12:00:00 AM,0,-120.767290663,39.2568513960001
5062,H0155,Drum #2,0,Pacific Gas & Electric (PG&E),Placer,49.5,Unit 567,WAT,12/18/1965 12:00:00 AM,0,-120.766888796,39.257342812
